location,address,latitude,longitude
Amsterdam,"Amsterdam, North Holland, Netherlands",52.3730796,4.8924534
Utrecht,"Utrecht, Netherlands",52.080985600000005,5.12768396945229
The Hague,"The Hague, South Holland, Netherlands",52.0799838,4.3113461
Maastricht,"Maastricht, Limburg, Netherlands",50.85798545,5.6969881818221095
Schiphol,"Schiphol, Haarlemmermeer, North Holland, Netherlands",52.3080392,4.7621975
Rotterdam,"Rotterdam, South Holland, Netherlands",51.9244424,4.47775
Wageningen,"Wageningen, Gelderland, Netherlands",51.9685817,5.668298061827958
Groningen,"Groningen, Netherlands",53.2190652,6.5680077
Netherlands,Netherlands,52.2434979,5.6343227
Dordrecht,"Dordrecht, South Holland, Netherlands",51.7958812,4.6779351
Delft,"Delft, South Holland, Netherlands",51.999457199999995,4.362724538543995
Veldhoven,"Veldhoven, North Brabant, Netherlands",51.4190691,5.4045572
Eindhoven,"Eindhoven, North Brabant, Netherlands",51.44855695,5.450122521857143
Veghel,"Veghel, Meierijstad, North Brabant, Netherlands",51.6134636,5.5446455
Diemen,"Diemen, North Holland, Netherlands",52.3350493,4.984282926187014
Nieuwegein,"Nieuwegein, Utrecht, Netherlands",52.0298704,5.0929333789192395
Netherlands ,Netherlands,52.2434979,5.6343227
Zaandam,"Zaandam, Zaanstad, North Holland, Netherlands",52.4424926,4.8298607
Maarssen,"Maarssen, Stichtse Vecht, Utrecht, Netherlands",52.1384846,5.040082
Rijswijk,"Rijswijk, South Holland, Netherlands",52.0446265,4.3188215
Houten,"Houten, Utrecht, Netherlands",52.03061555,5.161216639426677
Noord,"Noord, Para, Suriname",5.60067755,-55.28013661064335
Amstelveen,"Amstelveen, North Holland, Netherlands",52.3025582,4.8467875
Bilthoven,"Bilthoven, De Bilt, Utrecht, Netherlands",52.1289693,5.2046134
Rosmalen,"Rosmalen, 's-Hertogenbosch, North Brabant, Netherlands",51.71866,5.3629244
Dinteloord,"Dinteloord, Steenbergen, North Brabant, Netherlands",51.6339484,4.3680313
South Holland,"South Holland, Netherlands",51.9966792,4.5597397
Zwolle,"Zwolle, Overijssel, Netherlands",52.5089759,6.0943765
Almelo,"Almelo, Overijssel, Netherlands",52.3567956,6.66725277634109
's-Hertogenbosch,"'s-Hertogenbosch, North Brabant, Netherlands",51.6889387,5.303116
Doorn,"Doorn, Utrechtse Heuvelrug, Utrecht, Netherlands",52.0333163,5.3455956
Veenendaal,"Veenendaal, Utrecht, Netherlands",52.02320415,5.551800233162295
Duivendrecht,"Duivendrecht, Stationsplein, Duivendrecht, Ouder-Amstel, North Holland, Netherlands, 1115 BZ, Netherlands",52.3235282,4.9364854
Leiden,"Leiden, South Holland, Netherlands",52.1594747,4.4908843
Nijmegen,"Nijmegen, Gelderland, Netherlands",51.842574850000005,5.838960628748229
Soest,"Soest, Kreis Soest, North Rhine-Westphalia, 59494, Germany",51.5725501,8.1061259
Driebergen-Rijsenburg,"Driebergen-Rijsenburg, Utrechtse Heuvelrug, Utrecht, Netherlands",52.0516547,5.2836332
Oss,"Oss, North Brabant, Netherlands",51.778354199999995,5.532083610932192
Amersfoort,"Amersfoort, Utrecht, Netherlands",52.1562499,5.3896944
Helmond,"Helmond, North Brabant, Netherlands",51.4790956,5.6557686
Hoofddorp,"Hoofddorp, Haarlemmermeer, North Holland, Netherlands",52.305554,4.6926644
Hengelo,"Hengelo, Overijssel, Netherlands",52.2658726,6.7924049
Venlo,"Venlo, Limburg, Netherlands",51.39244885,6.1511724144122955
Duiven,"Duiven, Gelderland, Netherlands",51.9470218,6.02303247329986
Almere,"Almere, Flevoland, Netherlands",52.3705038,5.2185859
Papendrecht,"Papendrecht, South Holland, Netherlands",51.834666999999996,4.704688255674374
Haarlem,"Haarlem, North Holland, Netherlands",52.383705750000004,4.643559696559635
Arnhem,"Arnhem, Gelderland, Netherlands",51.984257,5.9108573
Bladel,"Bladel, North Brabant, Netherlands",51.37121075,5.234630644566941
Bunnik,"Bunnik, Utrecht, Netherlands",52.039151849999996,5.220319799249577
Tiel,"Tiel, Gelderland, Netherlands",51.892425349999996,5.430438174137935
Gouda,"Gouda, South Holland, Netherlands",52.018119350000006,4.711122134697802
Breda,"Breda, North Brabant, Netherlands",51.5887845,4.7760237
Halfweg,"Halfweg, Haarlemmermeer, North Holland, Netherlands",52.3826063,4.7546903
Brussels,"Brussels, Brussels-Capital, Belgium",50.8465573,4.351697
Genk,"Genk, Hasselt, Limburg, Flanders, 3600, Belgium",50.9654864,5.5001456
Belgium,Belgium,50.6402809,4.6667145
Ghent,"Ghent, Gent, East Flanders, Flanders, Belgium",51.0538286,3.7250121
Ottignies-Louvain-la-Neuve,"Ottignies-Louvain-la-Neuve, Nivelles, Walloon Brabant, Wallonia, Belgium",50.6654216,4.5674107
Antwerp,"Antwerp, Flanders, Belgium",51.2211097,4.3997081
Leuven,"Leuven, Flemish Brabant, Flanders, Belgium",50.879202,4.7011675
Zaventem,"Zaventem, Halle-Vilvoorde, Flemish Brabant, Flanders, Belgium",50.8806207,4.4730008
Bruges,"Bruges, Brugge, West Flanders, Flanders, Belgium",51.2085526,3.226772
Charleroi,"Charleroi, Hainaut, Wallonia, Belgium",50.4120332,4.4436244
Flemish Brabant,"Flemish Brabant, Flanders, Belgium",50.8686516,4.7886237984620905
Watermael-Boitsfort,"Watermael-Boitsfort - Watermaal-Bosvoorde, Brussels-Capital, 1170, Belgium",50.7981063,4.4176441
Liège,"Liège, Wallonia, 4000, Belgium",50.6450944,5.5736112
Waregem,"Waregem, Kortrijk, West Flanders, Flanders, Belgium",50.8868222,3.4323622
Belgium ,Belgium,50.6402809,4.6667145
Woluwe-Saint-Pierre,"Woluwe-Saint-Pierre - Sint-Pieters-Woluwe, Brussels-Capital, 1150, Belgium",50.8370253,4.4274636
Rixensart,"Rixensart, Nivelles, Walloon Brabant, Wallonia, Belgium",50.7122566,4.5216218
Hasselt,"Hasselt, Limburg, Flanders, Belgium",50.9303735,5.3378043
La Hulpe,"La Hulpe, Nivelles, Walloon Brabant, Wallonia, 1310, Belgium",50.7313729,4.4893987
Evere,"Evere, Brussels-Capital, 1140, Belgium",50.8720096,4.4034182
Mechelen,"Mechelen, Antwerp, Flanders, Belgium",51.0281381,4.4803453
Ternat,"Ternat, Langres, Haute-Marne, Grand Est, Metropolitan France, 52210, France",47.9058525,5.1266052
Geel,"Geel, Turnhout, Antwerp, Flanders, 2440, Belgium",51.1610826,4.9903187
Mol,"Molise, Italy",41.684672,14.595614
Haacht,"Haacht, Leuven, Flemish Brabant, Flanders, 3150, Belgium",50.9769474,4.6383121
Wavre,"Wavre, Nivelles, Walloon Brabant, Wallonia, Belgium",50.7169694,4.610416
Sint-Martens-Latem,"Sint-Martens-Latem, Gent, East Flanders, Flanders, Belgium",51.020971,3.6397549
Flanders,"Flanders, Belgium",51.096246199999996,4.178629103169916
Grimbergen,"Grimbergen, Halle-Vilvoorde, Flemish Brabant, Flanders, Belgium",50.9457887,4.389109565702387
Ghent ,"Ghent, Gent, East Flanders, Flanders, Belgium",51.0538286,3.7250121
Merelbeke,"Merelbeke, Gent, East Flanders, Flanders, Belgium",50.995756150000005,3.74567419991459
Kontich,"Kontich, Antwerp, Flanders, 2550, Belgium",51.1353297,4.4454784
Laakdal,"Laakdal, Turnhout, Antwerp, Flanders, Belgium",51.0802695,5.0073022
La Louvière,"La Louvière, Hainaut, Wallonia, 7100, Belgium",50.479487,4.1852682
Seraing,"Seraing, Liège, Wallonia, 4100, Belgium",50.6152381,5.5089437
Mons,"Mons, Hainaut, Wallonia, Belgium",50.4549568,3.951958
Kruibeke,"Kruibeke, Sint-Niklaas, East Flanders, Flanders, 9150, Belgium",51.17625475,4.298036873275151
Saint-Gilles,"Saint-Gilles, Reims, Marne, Grand Est, Metropolitan France, 51170, France",49.2801594,3.6756348
Rumst,"Rumst, Antwerp, Flanders, 2840, Belgium",51.0792853,4.4240472
Limburg,"Limburg, Netherlands",51.2015196,5.9046302
Beersel,"Beersel, Halle-Vilvoorde, Flemish Brabant, Flanders, Belgium",50.747841199999996,4.30652710740871
Namur,"Namur, Wallonia, Belgium",50.4665284,4.8661892
Ludwigsburg,"Ludwigsburg, Landkreis Ludwigsburg, Baden-Württemberg, Germany",48.8953937,9.1895147
Germany,Germany,51.1638175,10.4478313
Bonn,"Bonn, North Rhine-Westphalia, Germany",50.735851,7.10066
Munich,"Munich, Bavaria, Germany",48.1371079,11.5753822
Berlin,"Berlin, Germany",52.5170365,13.3888599
Ludwigshafen,"Ludwigshafen am Rhein, Rhineland-Palatinate, Germany",49.4704113,8.4381568
Mainz,"Mainz, Rhineland-Palatinate, Germany",50.0012314,8.2762513
Stuttgart,"Stuttgart, Baden-Württemberg, Germany",48.7784485,9.1800132
Nuremberg,"Nuremberg, Bavaria, Germany",49.453872,11.077298
Heilbronn,"Heilbronn, Baden-Württemberg, Germany",49.142291,9.218655
Bochum,"Bochum, North Rhine-Westphalia, Germany",51.4818111,7.2196635
Brunswick,"Brunswick, Lower Saxony, Germany",52.2646577,10.5236066
Düsseldorf,"Dusseldorf, North Rhine-Westphalia, Germany",51.2254018,6.7763137
Hanau,"Hanau, Main-Kinzig-Kreis, Hesse, Germany",50.132881,8.9169797
Cologne,"Cologne, North Rhine-Westphalia, Germany",50.938361,6.959974
Frankfurt,"Frankfurt, Hesse, Germany",50.1106444,8.6820917
Stuttgart ,"Stuttgart, Baden-Württemberg, Germany",48.7784485,9.1800132
Leipzig ,"Leipzig, Saxony, Germany",51.3406321,12.3747329
Mülheim,"Mülheim an der Ruhr, North Rhine-Westphalia, Germany",51.4272925,6.8829192
Hamburg,"Hamburg, Germany",53.550341,10.000654
Nuremberg ,"Nuremberg, Bavaria, Germany",49.453872,11.077298
Marktoberdorf,"Marktoberdorf, Landkreis Ostallgäu, Bavaria, 87616, Germany",47.7750654,10.6170847
Eisenach,"Eisenach, Wutha-Farnroda, Wartburgkreis, Thuringia, 99848, Germany",50.9747134,10.3193565
Essen,"Essen, North Rhine-Westphalia, Germany",51.4582235,7.0158171
Siegburg,"Siegburg, Rhein-Sieg-Kreis, North Rhine-Westphalia, 53721, Germany",50.7928332,7.2070774
Leverkusen,"Leverkusen, North Rhine-Westphalia, Germany",51.0324743,6.9881194
Berlin ,"Berlin, Germany",52.5170365,13.3888599
Karlsruhe,"Karlsruhe, Baden-Württemberg, Germany",49.0068705,8.4034195
Offenburg,"Offenburg, Verwaltungsgemeinschaft Offenburg, Ortenaukreis, Baden-Württemberg, Germany",48.4716556,7.944378
Hanover ,"Hanover, Region Hannover, Lower Saxony, Germany",52.3744779,9.7385532
M. Gladbach,"Auf'm Büchel, Paffrath, Bergisch Gladbach, Rheinisch-Bergischer Kreis, North Rhine-Westphalia, 51469, Germany",50.9959949,7.0964289
Oberschleißheim,"Oberschleißheim, Landkreis München, Bavaria, 85764, Germany",48.2549383,11.5546058
Ratingen,"Ratingen, Kreis Mettmann, North Rhine-Westphalia, Germany",51.2973261,6.8493503
Leipzig,"Leipzig, Saxony, Germany",51.3406321,12.3747329
Heidelberg,"Heidelberg, Baden-Württemberg, Germany",49.4093582,8.694724
Frankfurt ,"Frankfurt, Hesse, Germany",50.1106444,8.6820917
Hanover,"Hanover, Region Hannover, Lower Saxony, Germany",52.3744779,9.7385532
Bielefeld,"Bielefeld, North Rhine-Westphalia, Germany",52.0191005,8.531007
Einbeck,"Einbeck, Landkreis Northeim, Lower Saxony, 37574, Germany",51.8185067,9.8678465
Dresden,"Dresden, Saxony, Germany",51.0493286,13.7381437
Gütersloh,"Gütersloh, Kreis Gütersloh, North Rhine-Westphalia, Germany",51.9063997,8.3782078
Wuppertal,"Wuppertal, North Rhine-Westphalia, Germany",51.264018,7.1780374
Aachen,"Aachen, Städteregion Aachen, North Rhine-Westphalia, Germany",50.776351,6.083862
Munich ,"Munich, Bavaria, Germany",48.1371079,11.5753822
Augsburg,"Augsburg, Bavaria, Germany",48.3668041,10.8986971
Germany ,Germany,51.1638175,10.4478313
North Rhine-Westphalia,"North Rhine-Westphalia, Germany",51.4789205,7.5543751
Karlsruhe ,"Karlsruhe, Baden-Württemberg, Germany",49.0068705,8.4034195
Meinerzhagen,"Meinerzhagen, Märkischer Kreis, North Rhine-Westphalia, 58540, Germany",51.1063495,7.6408956
Bad Soden,"Bad Soden am Taunus, Main-Taunus-Kreis, Hesse, 65812, Germany",50.1517006,8.4899671
Giessen,"Gießen, Landkreis Gießen, Hesse, Germany",50.5862066,8.6742306
Sankt Augustin,"Sankt Augustin, Rhein-Sieg-Kreis, North Rhine-Westphalia, 53757, Germany",50.7752776,7.1895507
Essen ,"Essen, North Rhine-Westphalia, Germany",51.4582235,7.0158171
Verl,"Verl, Kreis Gütersloh, North Rhine-Westphalia, 33415, Germany",51.8830037,8.5093149
Eschborn,"Eschborn, Main-Taunus-Kreis, Hesse, 65760, Germany",50.1426423,8.5716274
Blomberg,"Blomberg, Kreis Lippe, North Rhine-Westphalia, 32825, Germany",51.9434473,9.0967908
Kassel ,"Kassel, Hesse, Germany",51.3154546,9.4924096
Wolfsburg,"Wolfsburg, Lower Saxony, Germany",52.4205588,10.7861682
Unterföhring,"Unterföhring, Landkreis München, Bavaria, 85774, Germany",48.1950385,11.6449251
Waldheim,"Waldheim, Mittelsachsen, Saxony, 04736, Germany",51.0770643,13.0157798
Rheda-Wiedenbrück,"Rheda-Wiedenbrück, Kreis Gütersloh, North Rhine-Westphalia, 33378, Germany",51.8428202,8.2985615
Oberkochen,"Oberkochen, Ostalbkreis, Baden-Württemberg, 73447, Germany",48.7855073,10.1106691
Heuchelheim,"Heuchelheim, Landkreis Gießen, Hesse, 35452, Germany",50.5825291,8.6305978
Böblingen,"Böblingen, Landkreis Böblingen, Baden-Württemberg, Germany",48.684969,9.0113444
Bremen,"Bremen, Free Hanseatic City of Bremen, Germany",53.0758196,8.8071646
Ulm,"Ulm, Baden-Württemberg, Germany",48.3974003,9.9934336
Lippstadt,"Lippstadt, Kreis Soest, North Rhine-Westphalia, Germany",51.6747074,8.347194
Barsinghausen,"Barsinghausen, Region Hannover, Lower Saxony, 30890, Germany",52.30223,9.4623741
Pleidelsheim,"Pleidelsheim, Vereinbarte Verwaltungsgemeinschaft der Stadt Freiberg am Neckar, Landkreis Ludwigsburg, Baden-Württemberg, 74385, Germany",48.9596036,9.2045813
Winnenden,"Winnenden, Gemeindeverwaltungsverband Winnenden, Rems-Murr-Kreis, Baden-Württemberg, 71364, Germany",48.8754571,9.3978478
Gelsenkirchen,"Gelsenkirchen, North Rhine-Westphalia, Germany",51.5110321,7.0960124
Bad Homburg,"Bad Homburg vor der Höhe, Hochtaunuskreis, Hesse, Germany",50.2267699,8.6169093
Erfurt ,"Erfurt, Thuringia, Germany",50.9777974,11.0287364
Ingolstadt ,"Ingolstadt, Bavaria, Germany",48.7630165,11.4250395
Hürth,"Hürth, Rhein-Erft-Kreis, North Rhine-Westphalia, 50354, Germany",50.8807379,6.876568
Schleswig,"Schleswig, Schleswig-Flensburg, Schleswig-Holstein, 24837, Germany",54.51851,9.5653284
Münster,"Münster, North Rhine-Westphalia, Germany",51.9625101,7.6251879
Oldenburg,"Oldenburg, Lower Saxony, Germany",53.1389753,8.2146017
Gütersloh ,"Gütersloh, Kreis Gütersloh, North Rhine-Westphalia, Germany",51.9063997,8.3782078
Ingolstadt,"Ingolstadt, Bavaria, Germany",48.7630165,11.4250395
Neuenhagen,"Neuenhagen bei Berlin, Märkisch-Oderland, Brandenburg, 15366, Germany",52.5261884,13.6889259
Neuss,"Neuss, Rhein-Kreis Neuss, North Rhine-Westphalia, Germany",51.1981778,6.6916476
Würzburg,"Würzburg, Bavaria, Germany",49.79245,9.932966
Hagen,"Hagen, North Rhine-Westphalia, Germany",51.3582945,7.473296
Jüchen,"Jüchen, Rhein-Kreis Neuss, North Rhine-Westphalia, 41363, Germany",51.1017138,6.5036893
Künzelsau,"Künzelsau, Verwaltungsgemeinschaft Künzelsau, Hohenlohekreis, Baden-Württemberg, 74653, Germany",49.2803765,9.6901512
Neckarsulm,"Neckarsulm, Verwaltungsgemeinschaft Neckarsulm, Landkreis Heilbronn, Baden-Württemberg, 74172, Germany",49.191133,9.2248391
Kusterdingen,"Kusterdingen, Landkreis Tübingen, Baden-Württemberg, 72127, Germany",48.5219062,9.119644
Manching,"Manching, Landkreis Pfaffenhofen an der Ilm, Bavaria, 85077, Germany",48.7171356,11.4940685
Marl,Mali,16.3700359,-2.2900239
Elmshorn,"Elmshorn, Kreis Pinneberg, Schleswig-Holstein, Germany",53.7532486,9.6524559
Eggenstein-Leopoldshafen,"Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Germany",49.088332,8.4003114
Abstatt,"Abstatt, Verwaltungsverband Schozach-Bottwartal, Landkreis Heilbronn, Baden-Württemberg, 74232, Germany",49.0683107,9.2914409
Anywhere,Not available,Not available,Not available
England,"England, United Kingdom",52.5310214,-1.2649062
Belfast,"Belfast, County Antrim, Northern Ireland, BT1 5JD, United Kingdom",54.596391,-5.9301829
Manchester,"Manchester, Greater Manchester, England, United Kingdom",53.4794892,-2.2451148
Nottingham,"Nottingham, Nottinghamshire, England, United Kingdom",52.9534193,-1.1496461
Edinburgh,"City of Edinburgh, Scotland, United Kingdom",55.9533456,-3.1883749
Stirling,"Stirling, Stirlingshire, Scotland, FK8 2DD, United Kingdom",56.1181242,-3.9360012
Liverpool,"Liverpool, Liverpool City Region, England, United Kingdom",53.4071991,-2.99168
United Kingdom,United Kingdom,54.7023545,-3.2765753
Bradford,"Bradford, West Yorkshire, England, United Kingdom",53.7944229,-1.7519186
Derby,"Derby, Derbyshire, England, DE1 2AA, United Kingdom",52.9212617,-1.4761491
Leicester,"Leicester, Leicestershire, England, LE1 5YA, United Kingdom",52.6362,-1.1331969
Leeds,"Leeds, West Yorkshire, England, United Kingdom",53.7974185,-1.5437941
Renfrewshire,"Renfrewshire, Scotland, United Kingdom",55.833333,-4.5
Aberdeen,"Aberdeen City, Scotland, United Kingdom",57.1482429,-2.0928095
"Warton, Preston","Warton Street, Broadgate, Avenham, Preston, Lancashire, England, PR1 8EH, United Kingdom",53.7522124,-2.7138587
Liverpool ,"Liverpool, Liverpool City Region, England, United Kingdom",53.4071991,-2.99168
,"Nangarhar Province, Afghanistan",34.220389,70.3800314
Preston,"Preston, Lancashire, England, United Kingdom",53.7593363,-2.6992717
Peterborough,"Peterborough, City of Peterborough, Cambridgeshire and Peterborough, England, PE1 1XH, United Kingdom",52.5725769,-0.2427336
Llandudno,"Llandudno, Conwy, Wales, LL30 1AH, United Kingdom",53.322475,-3.8243251
Macclesfield,"Macclesfield, Cheshire East, England, United Kingdom",53.2606635,-2.1255158
Birmingham ,"Birmingham, West Midlands Combined Authority, England, United Kingdom",52.4796992,-1.9026911
"Great Malvern, Malvern","Great Malvern, Malvern, Malvern Hills, Worcestershire, England, WR14 2XH, United Kingdom",52.1109798,-2.3285836
Glasgow,"Glasgow, Glasgow City, Scotland, G2 1DY, United Kingdom",55.8606182,-4.2497933
Bolton,"Bolton, Greater Manchester, England, United Kingdom",53.5782863,-2.4300367
United Kingdom ,United Kingdom,54.7023545,-3.2765753
Barnsley,"Barnsley, South Yorkshire Mayoral Combined Authority, England, United Kingdom",53.5527719,-1.4827755
Belfast ,"Belfast, County Antrim, Northern Ireland, BT1 5JD, United Kingdom",54.596391,-5.9301829
Thornton-Cleveleys,"Thornton–Cleveleys, Victoria Road East, Trunnah, Thornton, Borough of Wyre, Lancashire, England, FY5 5HT, United Kingdom",53.8706463,-3.0000164
Birmingham,"Birmingham, West Midlands Combined Authority, England, United Kingdom",52.4796992,-1.9026911
Greater Manchester,"Greater Manchester, England, United Kingdom",53.50652485,-2.3374401422576687
Belper,"Belper CP, Amber Valley, Derbyshire, England, United Kingdom",53.0229029,-1.4817414
Solihull,"Metropolitan Borough of Solihull, West Midlands Combined Authority, England, United Kingdom",52.4130189,-1.7768935
Manchester ,"Manchester, Greater Manchester, England, United Kingdom",53.4794892,-2.2451148
"Staxton, Scarborough",Not available,Not available,Not available
Coventry,"Coventry, West Midlands Combined Authority, England, United Kingdom",52.4081812,-1.510477
Gloucester,"Gloucester, Gloucestershire, England, United Kingdom",51.8653705,-2.2458192
Newcastle upon Tyne,"Newcastle upon Tyne, North of Tyne, England, United Kingdom",54.9738474,-1.6131572
Bolton ,"Bolton, Greater Manchester, England, United Kingdom",53.5782863,-2.4300367
"Derry, Londonderry","Londonderry/Derry, County Londonderry, Northern Ireland, BT48 6BU, United Kingdom",54.9978678,-7.3213056
Cheadle,"Cheadle, Staffordshire Moorlands, Staffordshire, England, United Kingdom",52.9884392,-1.9937596
Scotland,"Scotland, United Kingdom",56.7861112,-4.1140518
Shipley,"Shipley, Baildon, Bradford, West Yorkshire, England, United Kingdom",53.8321814,-1.7779777
 CV-Library,"CV Library, 10, Waterfront Business Park, Fleet, Hart, Hampshire, England, GU51 3TX, United Kingdom",51.28869735,-0.83063685
 DataScientistJobs,Not available,Not available,Not available
 SonicJobs,Not available,Not available,Not available
 Totaljobs,Not available,Not available,Not available
 AngelList,Not available,Not available,Not available
 Glassdoor,"Glassdoor, Pohono Street, Manzanita, Marin County, California, 94965, United States",37.8802332,-122.514705
 MBN Solutions,Not available,Not available,Not available
 DataYoshi,Not available,Not available,Not available
 Careermap,Not available,Not available,Not available
 Independent Jobs,Not available,Not available,Not available
York,"York, England, YO1 8SG, United Kingdom",53.9590555,-1.0815361
Hull,"Hull, Kingston upon Hull, England, HU1 3RA, United Kingdom",53.7435722,-0.3394758
Wolverhampton,"Wolverhampton, West Midlands Combined Authority, England, United Kingdom",52.5847651,-2.127567
"Gaydon, Warwick","Gaydon, Stratford-on-Avon, Warwickshire, England, United Kingdom",52.183882249999996,-1.4665136858172174
Oldham,"Oldham County, United States",35.3907651,-102.6193428
"Hazelwood, Belper","St John The Evangelist, Hazelwood, Hob Hill, Hazelwood CP, Shottlegate, Amber Valley, Derbyshire, England, DE56 4AL, United Kingdom",53.01072755,-1.5122802457506253
Corby,"Corby, North Northamptonshire, England, United Kingdom",52.4877341,-0.7032713
Tewkesbury,"Tewkesbury, Gloucestershire, England, United Kingdom",51.9925394,-2.1560169592908442
France,France,46.603354,1.8883335
Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France",45.7578137,4.8320114
Nouvelle-Aquitaine,"Nouvelle-Aquitaine, Metropolitan France, France",45.4039367,0.3756199
Cuy,"Cuy, Compiègne, Oise, Hauts-de-France, Metropolitan France, 60310, France",49.5862984,2.9119411
Décines-Charpieu,"Décines-Charpieu, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69150, France",45.773606,4.9633314
Poitiers,"Poitiers, Vienne, Nouvelle-Aquitaine, Metropolitan France, 86000, France",46.5802596,0.340196
Villeurbanne,"Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69100, France",45.7733573,4.8868454
Auvergne-Rhône-Alpes,"Auvergne-Rhône-Alpes, Metropolitan France, France",45.2968119,4.6604809
Marcy-l'Étoile,"Marcy-l'Étoile, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69280, France",45.7816572,4.7071338
Oullins,"Oullins, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69600, France",45.7153254,4.8039331
Niort,"Niort, Deux-Sèvres, Nouvelle-Aquitaine, Metropolitan France, 79000, France",46.3241132,-0.4649403
Clermont-Ferrand,"Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, Metropolitan France, France",45.7774551,3.0819427
